type,method,avg_ms,total_s,std_ms
baseline,do_bench,0.09174399822950363,0.01651453971862793,
baseline,CUPTI,0.0860297894736842,0.02213454246520996,0.0015262178425922985
optimized,do_bench,0.09048076719045639,0.02619147300720215,
optimized,CUPTI,0.08575715789473685,0.002375364303588867,0.001038155259819217
