shape,method,avg_time_ms,total_time_s,std_time_ms,median_time_ms
4,do_bench,0.021321143954992294,0.17593002319335938,,
4,CUPTI,0.005661408163265305,0.027544736862182617,3.266897571362512e-05,0.005664
8,do_bench,0.12721548974514008,0.23131251335144043,,
8,CUPTI,0.005797642105263157,0.010953187942504883,3.5834683519410217e-05,0.005791999999999999
16,do_bench,0.014506815932691097,0.16631674766540527,,
16,CUPTI,0.005864191489361701,0.008699655532836914,4.421207994061603e-05,0.005856
32,do_bench,0.009113510139286518,0.15775322914123535,,
32,CUPTI,0.0060413645833333335,0.00903940200805664,4.216241409509645e-05,0.006048
512,do_bench,0.012199264019727707,0.15910553932189941,,
512,CUPTI,0.007938383838383837,0.008004188537597656,6.665646998849706e-05,0.007936
1024,do_bench,0.012325991876423359,0.1513073444366455,,
1024,CUPTI,0.007360416666666666,0.008377313613891602,5.692898841734524e-05,0.0073605
2048,do_bench,0.018035462126135826,0.15560364723205566,,
2048,CUPTI,0.009204438775510205,0.01074981689453125,0.00014016696067121803,0.009185
4096,do_bench,0.028588011860847473,0.15692353248596191,,
4096,CUPTI,0.018573727272727273,0.009011268615722656,0.0002352068429131435,0.018561
5120,do_bench,0.03410189598798752,0.1517643928527832,,
5120,CUPTI,0.02568486868686868,0.009914398193359375,0.00021329860732825887,0.025666
10240,do_bench,0.06138676777482033,0.14617013931274414,,
10240,CUPTI,0.0562098695652174,0.008509397506713867,0.0007048599185128188,0.056227
